"Data","Tweets published","impressões","engajamentos","taxa de engajamento","retweets","respostas","favoritos","cliques no perfil do usuário:","cliques no URL","cliques em hashtags:","expansões de detalhes:","cliques no link permanente","aberturas de aplicativos","instalações de aplicativo:","seguiram","Tweet enviado por e-mail","número de telefone discado","visualizações da mídia","engajamentos com mídia","impressões promovido(a)(s)","engajamentos promovido(a)(s)","taxa de engajamento promovido(a)(s)","retweets promovido(a)(s)","respostas promovido(a)(s)","favoritos promovido(a)(s)","cliques no perfil do usuário: promovido(a)(s)","cliques no URL promovido(a)(s)","cliques em hashtags: promovido(a)(s)","expansões de detalhes: promovido(a)(s)","cliques no link permanente promovido(a)(s)","aberturas de aplicativos promovido(a)(s)","instalações de aplicativo: promovido(a)(s)","seguiram promovido(a)(s)","Tweet enviado por e-mail promovido(a)(s)","número de telefone discado promovido(a)(s)","visualizações da mídia promovido(a)(s)","engajamentos com mídia promovido(a)(s)"
"2024-01-01","0","20094","545","0.027122524136558177","8","54","84","26","222","24","75","0","0","0","51","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-02","0","19662","478","0.0243108534228461","8","13","34","10","247","12","48","0","0","0","105","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-03","0","16627","392","0.023576111144523966","13","8","56","6","156","9","30","0","0","0","95","0","0","19","19","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-04","0","16999","422","0.02482498970527678","11","9","56","23","168","3","50","0","0","0","93","0","0","11","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-05","0","14399","369","0.025626779637474825","4","3","47","7","151","3","27","0","0","0","115","0","0","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-06","0","12778","344","0.026921270934418533","6","3","42","14","162","4","33","0","0","0","79","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-07","0","16130","323","0.020024798512089274","2","6","28","7","161","0","34","0","0","0","85","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-08","0","13751","343","0.024943640462511817","22","5","40","4","121","4","19","0","0","0","128","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-09","0","15142","386","0.02549200898164047","16","5","38","13","125","8","31","0","0","0","130","0","0","20","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-10","0","14341","361","0.025172582107244962","7","8","38","9","135","6","15","0","0","0","129","0","0","14","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-11","0","12926","405","0.0313321986693486","16","6","57","4","145","11","34","0","0","0","124","0","0","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-12","0","10892","311","0.02855306647080426","9","5","34","7","108","3","20","0","0","0","117","0","0","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-13","0","16778","398","0.023721540112051496","11","4","36","15","203","6","41","0","0","0","82","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-14","0","17194","464","0.026986157962079795","6","5","38","24","247","5","22","0","0","0","117","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-15","0","14172","389","0.027448489980242734","9","3","45","11","163","4","24","0","0","0","130","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-16","0","25557","1457","0.05700982118402003","11","13","68","33","622","56","479","0","0","0","154","0","0","21","21","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-17","0","14826","478","0.03224065830298125","15","4","49","8","219","11","51","0","0","0","107","0","0","15","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-18","0","13749","400","0.029093024947268894","8","3","41","9","184","9","26","0","0","0","109","0","0","24","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-19","0","12632","311","0.02462001266624446","4","6","34","11","142","11","29","0","0","0","63","0","0","17","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-20","0","13001","350","0.02692100607645566","6","6","32","4","178","7","23","0","0","0","90","0","0","5","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-21","0","11099","332","0.02991260473916569","5","0","27","5","137","5","22","0","0","0","120","0","0","12","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-22","0","12161","311","0.025573554806348164","9","3","32","9","100","5","22","0","0","0","130","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-23","0","11243","277","0.02463755225473628","15","1","37","10","111","6","20","0","0","0","62","0","0","15","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-24","0","10913","256","0.023458260789883625","11","2","35","9","118","10","23","0","0","0","41","0","0","7","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-25","0","11779","265","0.022497665336616013","3","1","29","8","124","6","18","0","0","0","54","0","0","24","22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-26","0","10793","283","0.026220698600945058","4","3","34","7","126","10","22","0","0","0","61","0","0","17","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-27","0","12052","240","0.019913707268503153","4","1","20","10","108","10","32","0","0","0","55","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-28","0","15017","376","0.025038289938070186","10","3","33","9","234","8","31","0","0","0","48","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-29","0","11584","316","0.027279005524861878","10","3","56","9","144","14","22","0","0","0","57","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-30","24","23747","1246","0.052469785657135636","9","44","70","40","695","21","275","0","0","0","81","0","0","12","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-31","25","13762","358","0.026013660805115534","2","10","35","16","161","11","51","0","0","0","55","0","0","17","17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
