Data,Cidades,Nome da cidade,Visualizações
2024-02-01,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,27
2024-02-02,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,38
2024-02-03,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,31
2024-02-04,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,23
2024-02-05,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,51
2024-02-06,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,26
2024-02-07,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,94
2024-02-08,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,62
2024-02-09,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,19
2024-02-10,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,30
2024-02-11,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,28
2024-02-12,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,21
2024-02-13,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,26
2024-02-14,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,362
2024-02-15,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,104
2024-02-16,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,83
2024-02-17,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,20
2024-02-18,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,17
2024-02-19,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,66
2024-02-20,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,38
2024-02-21,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,47
2024-02-22,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,43
2024-02-23,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,0
2024-02-24,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,10
2024-02-25,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,0
2024-02-26,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,36
2024-02-27,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,32
2024-02-28,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,549
2024-02-29,0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,0
2024-02-01,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,340
2024-02-02,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,237
2024-02-03,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,236
2024-02-04,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,141
2024-02-05,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,355
2024-02-06,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,244
2024-02-07,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,611
2024-02-08,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,285
2024-02-09,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,163
2024-02-10,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,193
2024-02-11,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,203
2024-02-12,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,215
2024-02-13,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,186
2024-02-14,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,1519
2024-02-15,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,582
2024-02-16,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,530
2024-02-17,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,174
2024-02-18,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,147
2024-02-19,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,402
2024-02-20,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,365
2024-02-21,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,193
2024-02-22,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,516
2024-02-23,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,100
2024-02-24,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,112
2024-02-25,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,92
2024-02-26,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,262
2024-02-27,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,282
2024-02-28,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,2824
2024-02-29,0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,0
2024-02-01,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,20
2024-02-02,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,28
2024-02-03,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,20
2024-02-04,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,18
2024-02-05,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,103
2024-02-06,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,54
2024-02-07,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,38
2024-02-08,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,224
2024-02-09,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,18
2024-02-10,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,44
2024-02-11,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,45
2024-02-12,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,54
2024-02-13,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,46
2024-02-14,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,125
2024-02-15,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,246
2024-02-16,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,496
2024-02-17,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,32
2024-02-18,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,14
2024-02-19,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,87
2024-02-20,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,41
2024-02-21,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,135
2024-02-22,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,44
2024-02-23,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,0
2024-02-24,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,17
2024-02-25,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,14
2024-02-26,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,12
2024-02-27,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,12
2024-02-28,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,160
2024-02-29,0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,0
2024-02-01,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,66
2024-02-02,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,51
2024-02-03,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,43
2024-02-04,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,29
2024-02-05,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,130
2024-02-06,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,127
2024-02-07,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,68
2024-02-08,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,997
2024-02-09,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,62
2024-02-10,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,21
2024-02-11,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,17
2024-02-12,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,42
2024-02-13,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,52
2024-02-14,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,85
2024-02-15,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,562
2024-02-16,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,1390
2024-02-17,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,48
2024-02-18,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,0
2024-02-19,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,135
2024-02-20,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,131
2024-02-21,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,161
2024-02-22,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,69
2024-02-23,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,12
2024-02-24,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,0
2024-02-25,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,0
2024-02-26,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,0
2024-02-27,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,36
2024-02-28,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,145
2024-02-29,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,0
2024-02-01,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,13
2024-02-02,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,11
2024-02-03,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-04,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-05,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,39
2024-02-06,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,25
2024-02-07,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,10
2024-02-08,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,497
2024-02-09,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,34
2024-02-10,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-11,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,12
2024-02-12,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-13,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-14,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,19
2024-02-15,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,273
2024-02-16,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,584
2024-02-17,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,13
2024-02-18,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-19,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,68
2024-02-20,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,36
2024-02-21,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,55
2024-02-22,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,23
2024-02-23,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-24,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-25,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-26,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-27,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-28,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,34
2024-02-29,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
